City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Uturoa,PF,76.6,scattered clouds,-16.7333,-151.4333,
526,Biak,ID,75.94,overcast clouds,-0.9131,122.8766,
529,Ko Samui,TH,82.87,overcast clouds,9.5357,99.9357,
530,Manggar,ID,79.5,few clouds,-2.8833,108.2667,
533,Pemangkat,ID,76.46,broken clouds,1.1667,108.9667,
534,Ouallam,NE,88.92,light rain,14.3188,2.0866,
535,Cozumel,MX,82,overcast clouds,20.5083,-86.9458,
536,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,
537,Yara,CU,83.53,broken clouds,20.2753,-76.9533,
538,Eyl,SO,76.08,few clouds,7.9803,49.8164,
539,Unity,CA,79.25,scattered clouds,52.4501,-109.1682,
540,Lompoc,US,86.68,clear sky,34.6391,-120.4579,
545,Marzuq,YE,79.25,few clouds,14.4,46.4667,
547,Banda Aceh,ID,78.62,overcast clouds,5.5577,95.3222,
549,San Felipe,VE,75.9,scattered clouds,10.3399,-68.7425,
551,Taitung,TW,77.27,broken clouds,22.7583,121.1444,
552,Ipixuna,BR,77.13,scattered clouds,-1.7625,-48.8043,
556,Panguna,PG,78.33,broken clouds,-6.3164,155.4848,
558,Athabasca,CA,79.21,clear sky,54.7169,-113.2854,
559,Chauk,MM,78.4,overcast clouds,20.8833,94.8167,
560,Sabha,LY,85.06,clear sky,27.0377,14.4283,
