,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
286,Groningen,53.25,6.75,59.04,clear sky,87,3,2.3,NL
287,Sungaipenuh,-2.0833,101.3833,62.74,broken clouds,96,60,2.17,ID
288,Madang,-5.2246,145.7966,79.88,overcast clouds,85,86,2.98,PG
289,Mecca,21.4267,39.8261,91.04,overcast clouds,43,100,9.22,SA
290,Kirakira,-10.4544,161.9205,82.24,overcast clouds,75,89,8.03,SB
291,Hoopstad,-27.8327,25.9083,55.71,few clouds,28,16,13.73,ZA
292,Cidreira,-30.1811,-50.2056,58.75,overcast clouds,91,100,11.45,BR
293,Pokaran,26.9167,71.9167,89.28,overcast clouds,63,87,6.15,IN
294,Murashi,59.3999,48.9615,61.36,scattered clouds,84,50,4.41,RU
295,Predivinsk,57.0669,93.4378,59.47,overcast clouds,75,96,1.5,RU
296,Jiuquan,39.7432,98.5174,71.28,few clouds,49,23,2.01,CN
297,San Vicente,-26.6167,-54.1333,57.2,overcast clouds,100,100,1.72,AR
298,Broken Hill,-31.95,141.4333,49.75,clear sky,66,5,6.87,AU
299,Pryazha,61.6926,33.6216,52.83,clear sky,91,10,4.63,RU
300,Ancud,-41.8697,-73.8203,44.22,few clouds,81,12,2.08,CL
301,Cuauhtemoc,28.4167,-106.8667,75.02,broken clouds,39,64,7.36,MX
302,Oshikango,-17.4,15.8833,61.83,clear sky,26,1,5.84,NA
303,Saint-Joseph,-21.3667,55.6167,66.58,clear sky,80,8,6.4,RE
304,Kavieng,-2.5744,150.7967,82.31,broken clouds,76,80,13.71,PG
305,Wageningen,51.9667,5.6667,61.03,few clouds,80,20,2.3,NL
306,Bayan,46.0833,127.4,62.82,clear sky,83,1,8.52,CN
307,Xiaoshi,41.2971,124.1209,73.27,broken clouds,97,82,4.32,CN
308,Paratinga,-12.6906,-43.1842,79.99,scattered clouds,26,30,2.04,BR
309,Pingliang,35.5392,106.6861,77.4,overcast clouds,69,100,2.84,CN
310,Zhaotong,27.3167,103.7167,60.35,overcast clouds,92,98,3.31,CN
311,Abalak,58.1286,68.5944,58.96,overcast clouds,76,92,4.63,RU
312,Atherton,53.5237,-2.4935,61.29,few clouds,88,17,3.02,GB
313,Castel San Giovanni,45.0583,9.4335,75.58,overcast clouds,94,96,6.85,IT
314,Hasaki,35.7333,140.8333,84.6,clear sky,83,9,13.94,JP
315,Roald,62.5833,6.1333,59.76,overcast clouds,88,100,11.5,NO
316,Bastrop,32.7562,-91.8724,96.69,broken clouds,49,76,1.19,US
317,Inverell,-29.7833,151.1167,47.16,clear sky,75,0,4.0,AU
318,Vostok,46.4856,135.8833,65.84,light rain,98,100,2.86,RU
319,Peniche,39.3558,-9.3811,66.29,clear sky,93,0,5.12,PT
320,Nabire,-3.3667,135.4833,77.85,overcast clouds,88,96,2.35,ID
321,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.28,broken clouds,66,65,9.48,BR
322,Saint-Augustin,51.226,-58.6502,70.29,overcast clouds,76,100,16.4,CA
323,Kiama,-34.6833,150.8667,57.0,few clouds,71,24,5.01,AU
324,Husavik,66.0449,-17.3389,52.29,overcast clouds,95,98,3.09,IS
325,Torbat-E Jam,35.244,60.6225,77.16,clear sky,28,0,10.98,IR
326,Ozernovskiy,51.5,156.5167,57.34,scattered clouds,91,28,5.75,RU
327,Rudnichnyy,59.617,52.4703,65.21,broken clouds,74,80,3.98,RU
328,Verkhnevilyuysk,63.4453,120.3167,54.57,overcast clouds,86,86,2.51,RU
329,Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.79,broken clouds,88,75,2.24,RU
330,Kasempa,-13.4584,25.8338,58.82,clear sky,39,0,5.12,ZM
331,Brockville,44.5834,-75.6826,86.14,broken clouds,72,68,10.0,CA
332,Brewster,41.3973,-73.6171,89.92,clear sky,68,0,16.11,US
333,Grand Island,40.925,-98.342,73.35,overcast clouds,79,100,18.41,US
334,Westport,41.1415,-73.3579,89.11,clear sky,66,0,18.41,US
335,Loncoche,-39.3667,-72.6333,39.69,overcast clouds,99,100,2.01,CL
336,Riyadh,24.6877,46.7219,96.94,clear sky,23,1,6.96,SA
337,Warrnambool,-38.3833,142.4833,44.29,few clouds,76,23,7.4,AU
338,Tamiahua,21.2667,-97.45,85.62,clear sky,63,6,12.55,MX
339,Basoko,1.2391,23.616,72.43,broken clouds,87,74,2.89,CD
340,Adrar,20.5022,-10.0711,100.0,broken clouds,18,69,1.99,MR
341,Mandera,3.9366,41.867,75.76,broken clouds,48,78,19.91,KE
342,Kananga,-5.8958,22.4178,74.23,overcast clouds,31,95,3.09,CD
343,Yar-Sale,66.8333,70.8333,64.58,clear sky,76,0,10.02,RU
344,Mahon,39.8885,4.2658,81.16,clear sky,78,0,5.75,ES
345,Weihai,37.5017,122.1136,81.25,heavy intensity rain,90,100,7.05,CN
